Sirpca,Turkce
Krivična,Cea / Suç ile ilgili (kadın)
Krivična djela,Suç fiilleri
Krivični,Ceza / Suç ile ilgili (kadın)
Krivično,Cezai / Suçla ilgili (nötr)
Krivično delo,Suç / Cezai eylem
Kriza,Kriz / Bunalım (kadın)
Krizalište,Patinaj pisti
Krizu,Krizi (akuztiv)
Kroasan,Kruvasan
Krokodil,Timsah
Krompir,Patates (sebze)
Krompira,Patates (genitiv) (akuzativ) (erkek)
Krompire,Patatesleri
Krov,Çatı
Krov nad glavom po,Başının üstünde bir çatı
Krovu,Çatıya / Çatıda (dativ) (lokativ)
Kroz,İçinden / Boyunca / Aracılığıyla / Yoluyla (edat)
Krst,Haç (erkek)
Krstarenje,Gezinti / Tur (Gemi ile)
Krstovi,Haçlar
Krstu,Haça (dativ)
Kršenje,İhlal / Çiğneme
Krši,İhlal ediyor
Kršiti,İhlal etmek / çiğnemek (fiil)
Krug,Yuvarlak
Krugu,Devre / Çevrim
Krumpir,Patates (Hırvatça)
Krumpira,Patatesin
Krunisan,Taçlı
Krupni,Iri / Büyük yapılı
Kruška,Armut (meyve)
Kruške,Armutlar
Krušku,Armudu (akuzativ) (kadın)
Kružni,Dairesel
Krv / Krvnog,Kan
Kučni,Ev içi / Evle ilgili
Kuć,Ev (erkek) (tekil)
Kuća,Ev (dişi) (tekil)
Kuće,Evler (çoğul)
Kuće / Kucice,Evler
Kući,Eve (dativ) / Evde (lokativ)
Kućica,Kulübeler / Stantlar
Kućna,Ev ile ilgili
Kućna hemija,Ev kimyasalları / Temizlik Ürünleri
Kuću,Evi (akuzativ)
Kuda ,Nereye (soru)
Kuda ići,Nereye gitmek (soru)
Kuglice,Toplar
Kuha,pişiriyor
Kuhinja,Mutfak (kadın) / Aşevi
Kuhinje,Mutfaklar / Mutafağın (ilgi hali) (kadın)
Kuhinji,Mutfağa / Mutfakta (yönelme hali)
Kuhinjom,Mutfağı kullanmak / Mutfakla
Kuhinjski,Mutfakla ilgili
Kuhinjski pribor,Mutfak aletleri
Kuhinjski ubrusi,Mutfak havluları
Kuhinju,Mutfağı (belirtme hali)
Kukama,Kancalar
Kukovi,Kalçalar
Kula,Kule
Kule,Kuleler
Kulen,Serin
Kultna,Ikonik / Kült
Kulture,Kültürün (genitiv)
Kulturi / Kultura / Kulture / Kulturu,Kültür
Kulturne,Kültürel
Kunem,Yemin ederim
Kupаtila,Banyolar (nötr)
Kupac,Müşteri
Kupaca,Alıcılar
Kupamo,Banyo yapıyoruz  / Yüzüyoruz(biz)
Kupanje,Yüzme / Yıkanma / Suya girme
Kupati se,Banyo Yapmak / Yıkanmak / Yüzmek (fiil)
Kupatila,Bamyolar (nötr)
Kupatilo,Banyo (nötr)
Kupatilska,Banyoya ait / Banyo ile ilgili (sıfat)
Kupce / Kupci,Müşteriler
Kupci,Müşteriler
Kupcima,Müşterilere
Kupi,satın al (sen)
Kupila ,Satın alınmış
Kupim,Satın alırım / Satın alacağım (gelecek zaman)
Kupimo,Satın alalım (biz)
Kupina,Böğürtlen (meyve)
Kupio,Satın aldı
Kupite,Siz satın alın
Kupiti,Satın almak (fiil) (bir kez yapılan eylem)
Kupka,Banyo yapmak (küvette)
Kupka kokos,Hindistan cevizi banyosu
Kuplo,Sıcak / Bunaltıcı (hava olayı)
Kupljenu,Satın alındı
Kupovati,Satın almak / Alışveriş yapmak (fiil) (sürekli yapılan eylem)
Kupovina,Alışveriş / Satın alma
Kupovine,Alışveriş (çoğul) / Alışverişin / Satın almanın (genitiv)
Kupovini,Alışverişe
Kupovinom,Alışveriş yaparak
Kupovinu,Alışverişe gidiyor (o) (akuzativ)
Kupuje,Satın alıyor (o)
Kupujem,Satın alıyorum (ben)
Kupujemo,Satın alıyoruz (biz)
Kupujete,Satın alıyorsunuz (siz)
Kupuju,Satın alıyorlar (onlar)
Kupus,Lahana (sebze)
Kupusa,Lahananın / Lahanaların (genitiv)
Kurbanska,Kurban ile ilgili (kadın)
Kurbanski,Kurban ile ilgili (erkek)
Kurbanski bajram,Kurban Bayramı
Kurbansko,Kurban ile ilgili (nötr)
Kurs,Kurs
Kurseva,Kursların (genitiv)
Kusur,Para üstü
Kutak,Köşe (soyut anlamda)
Kutija,Kutu
Kutijama,Kutulara (dativ) / Kutularla (instrumental) / Kutularda (lokativ)
Kutije,Kutular / Kutuların (genitiv)
Kutiji,Kutuya (dativ) / Kutuda (lokativ)
Kutijom,Kutuyla (instrumental)
Kutiju,Kutu (akuzativ)
Kuva,Pişir(o)
Kuvalo,Ocak
Kuvalo za vodu,Elektrikli su ısıtıcısı
Kuvano / Kuvanog / Kuvana,Sıcak / Pişmiş
Kuvanja,Pişirme (genitiv)
Kuvanje,Pişirme / Yemek Yapma 
Kuvar,Aşçı (erkek)
Kuvarica,Aşçı (kadın)
Kuvati,Pişirmek / Kaynatmak (yemek) (fiil)
Kvalifikacije / Kvalifikacijama,Nitelikler
Kvalitet,Kalite
Kvalitet slike,Görüntü kalitesi
Kvaliteta,Kalitenin (genitiv)
Kvalitetan,Kaliteli
Kvalitetna,Kaliteli (kadın)
Kvalitetne,Kaliteli (çoğul) (kadın) (nötr)
Kvalitetniju,Daha kaliteli
Kvalitetno,Kaliteli (nötr)
Kvalitetu,Kaliteye (dativ)
Kvarcna,Kuvars
Kvariti,Bozmak (fiil)
Kviz,Bilgi yarışması (quiz)
ko je,Kimdir (soru) (Sırpça)
koalicionih,Koalisyon (genitiv)
Lagana,Işık
Lak,Hafif / Kolay
Lakat,Dirsek
Lakim,Kolay (çoğul) (kadın)
Lako,Kolayca / Zahmetsizce
Lako možete,Kolayca yapabilirsin
Laktoza,Laktoza (lokativ)
Laktozu,Laktozu (akuzativ)
Laku noć,İyi geceler
Lambordžini Aventador,Lamborghini Aventador
Lampa,Lamba (kadın)
Lampe,Lambalar
Lampi,Lambada (lokativ)
Lan,Keten
Lanac,Zincir / Firma ağı
Lastvi,Kırlangıçlar
Latinice,Latin harfleri
Lavabo,Lavabo (erkek)
Lavaboa,Lavabonun (genitiv) (tekil) (çoğul)
Lavaboi,Lavabolar
Lavanda,Lavanta
Lavice,Dişi aslanlar
Lazanje,Lazanya
Lažna,Sahte (kadın)
Lažni,Sahte / Yanıltıcı
Lažnih,Sahte olanlar
Lažnim,Sahte (instrumental) (dativ)
Lažno,Yanlış / Sahte (nötr)
Leći,Uzanmak / Yatmak (fiil)
Ledeni,Buzlu
Ledu,Buz
Leđa,Sırt (çoğul)
Leđima,Sırt (vücut)
Legende,Efsaneler
Lekar,Doktor / Hekim
Lekara,Doktoru
Lekarska potvrda,Sağlık raporu
Lep,Güzel
Lepa,Güzel (kadın) (tekil) (ekavski)
Let,Uçuş
Leta (I),Uçusşların / Uçuşları (genitiv)
Leta (II),Yazların / Yaz mevsimlerinin
Letimo,Hadi uçalım (uçak ile)
Letovanje,Yaz tatili
Letu,Yaza / Yazda dativ) (lokativ)
Ležaj,Yatak
Ležajem,Yatak ile (instrumental)
Ležaljka,Şezlong
Ležaljke,Şezlonglar
Ležati,Yatmak (fiil)
Leži,Yatar
Li,-mi / -mı (soru) (edat)
Lica,Yüzlerin / Suratların / Kişilerin / Şahısların (genitiv)
Lice,Yüz / Surat / Kişi / Şahıs / Kimlik
Ličiti,Benzemek (fiil)
Lična,Şahıs / Kişisel (kadın) (nominativ)
Lična higijena,Kişisel hijyen
Lične,Şahıs / Kişisel (dişi) (çoğul)
Lične zamjenice,Şahıs Zamirleri
Lični,Kişisel
Lično,Şahsen / Bizzat
Ličnog,Kişisel / Şahsi
Ličnost,Kişilik / Şahsiyet
Ličnosti,Kişilikler / Şahsiyetler
Ličnu,Kişisel / Şahsi (kadın) (akuzativ)
Lider,Lider / Önder / Başkan
Lideri,Liderler
Lideri inovacija,Yenilik liderleri
Liderima,Liderlere (dativ) / Liderlerle (instrumental)
Liderke,Liderler (kadın)
Lift,Asansör
Liftom,Asansörle
Liftu,Asansöre (dativ) / Asansörde (lokativ)
Lijek,Ilaç
Lijep,Güzel (yakışıklı) (erkek) (tekil)
Lijepa,Güzel (kadın) (tekil)
Lijepe,Güzel (çoğul) (kadın)
Lijepo,Güzel
Lijepo vrijeme,Güzel hava
Lijevı (II),Sol (yön) (erkek) (nötr) (çoğul)
Lijeva,Sol (yön) (kadın)
Lijeve,Sol (dişi) (çoğul)
Lijevi (I),Sol (yön) (erkek)
Lijevo,Solda / Sol taraf / Sola doğru (yön)
Lik,Karakter
Likvi,Sıvılar
Limun,Limon (meyve)
Limuna,Limonun
Linija,Hat / Çizgi
Linije,Çizgiler
Liniju,Astar
Lipnja,Haziran (ay)
List,Baldır
Lista,Liste
Listi,Listesinde (lokativ)
Listu,Listeyi (akuzativ)
Listu nepokretnosti,Taşınmaz kaydına
Lišen,Yoksun bırakılan
Litar,Litre
Litara,Litrelerin / litreden (genitiv) / litreyi / lireleri (akuzativ)
Litra,Litrelerin / litreden (genitiv) / Litreyi / Litresini (Akuzativ)
Lobiramo,Lobi yapıyoruz
Logično,Mantıksal olarak
Logo,Logo
Logora,Kamp / Kamplar
Logotip,Logo (erkek)
Lojalnih,Sadık
Lojalnost,Sadakat
Lojalnosti,Sadakatin (genitiv)
Lokacija,Yer / Konum (çoğul)
Lokacije,Yerler / Konumlar
Lokal,Mekan / Dükkan
Lokala,Mekanın (genitiv)
Lokalnim,Yerel (erkek) (nötr)
Lokalnoj,Yerel (dişi)
Lopata,Kürek
Lopovluka,Hırsızlık
Loš,Kötü (sıfat)
Loše,Kötü / Fena
Lovačko,Avcılık
Lovačko pecivo,Avcı böreği
Lovćenska,Lovćen'e ait
Loze,Sarmaşıklar
Lozinka,Şifre / Parola (kadın)
Lozinke,Şifreler
Lozinku,Şifreyi
Lubenica,Karpuz (meyve)
Luci / Luku,Liman
Luda,Deli
Luk,Kuru Soğan (sebze)
Lukovini,Ampuller
Luksuz,Lüks (erkek)
Luksuzan,Lüks / Lüks şekilde (erkek)
Luksuzna,Lüks / Lüks şekilde (kadın)
Luksuzni,Lüks (erkek) (çoğul)
Luksuzno,Lüks / Lüks şekilde (nötr)
Luksuznu,Lüks (kadın) (akuzativ)
Luštica,Deniz kabuğu
Lutati,Dolaşmak (fiil)
lijepo vrijeme,Güzel hava
likovnih,Güzel sanatlar / Görsel sanatlar
Ljbavlju  ,Sevgiler
Ljekar,Doktor (erkek)
Ljekarka,Doktor (kadın)
Ljekaru,Doktora (dativ)
Ljep,Güzel / Yakışıklı (erkek)
Ljepe,Güzel (kadın) (çoğul)
Ljepim,Güzel (erkek) (nötr) (çoğul)
Ljepo,Güzel (nötr) (tekil)
Ljepoj,Güzel (kadın) (lokativ)
Ljepota,Güzellik
Ljepotama,Güzellikler
Ljepote,Güzelliği / Güzelliklerin (genitiv)
Ljepotom,Güzellikle / Güzellik ile ilgili (instrumental)
Ljepotu,Güzelliği (akuzativ)
Ljepša,Daha güzel
Ljepšu,Daha güzel
Ljeta,Yazın / Yazlar / Yazların (genitiv) (nominativ)
Ljeti,Yazın (zarf) 
Ljetni,Yaza ait / Yaz ile ilgili  (erkek)
Ljetnje,Yaza ait / Yazlık (nötr)
Ljetnji,Yazlık / Yaza ait (erkek) (Sırbistan) (Karadağ)
Ljetnju,Yaza ait / Yaz (sıfat)
Ljeto,Yaz (mevsim)
Ljetopsu,Yaz şapkası
Ljiljan,Zambak
Ljubav / Ljubavi,Aşk
Ljubazan,Nazik / Kibar
Ljubazni,Nazik / Kibar (çoğul-resmi)
Ljubaznim,Nazik / Kibar / Dostça (instrumental)
Ljubičasta,Mor (renk)
Ljubimicima,Evcil hayvanlar
Ljubitelj,Sever / Hayran
Ljubitelje,Severler
Ljubiti,Öpmek (fiil)
Ljubljanu,Ljubljana'ya
Ljude,Insanlar (akuzativ)
Ljudi,Insanlar
Ljudima,İnsanlara
Ljudska,İnsani
Ljudska prava,İnsan hakları
Ljudske,İnsanlara ait / insani 
Ljudske resurse,İnsan Kaynakları
Ljudski,İnsani / İnsanca
Ljudski resursi,İnsan kaynakları
Ljulljanje,Sallanan
Ljuljaška,Sallanmak
Ljusci,Terazi
Ljuto,Acı baharatlı (tat)
Ljuto / Ljutog / Ljut ,Sinirli
Mače,Yavru kedi
Mačka / Mačak,Kedi
Mačke,Kediler
Madridu,Madrid
Magacinu,Depo
Magacioner,Depocu
Magičnu,Büyülü
Magija,Büyü / Sihir / Mucizevi bir şey
Magla,Sis (hava olayı)
Magnolija,Manolya / Magnolya
Maj,Mayıs (ay)
Maja,Mayıs'ın / Mayıs ayının
Majčina,Annenin
Majčina dušica,Kekik
Majčina dušica piletina,Kekikli tavuk
Majčini,Annem ait
Majica,Tişört / Penye
Majicu,Tişörtü / Penyeyi (akuzativ)
Majka,Anne (resmi)
Majke,Anneler
Majmun / Majmuna,Maymun
Majonezu,Mayonez
Majstor / Majstora,Usta (işçi)
Maju,Mayıs'a / Mayıs ayında (dativ) (lokativ)
Makedonija,Mekedonya
Makedonije,Mekedonya'nın (genitiv) (kadın)
Maksimalan,Maksimum
Maksimalan ukus,Maksimum lezzet
Maksimalne,Maksimum
Mala,Küçük (kadın) / küçük (çoğul) (nötr)
Mala slova,Küçük harfler
Maldive,Maldivlere (Akuzativ)
Male,Küçük (çoğul) (dişi)
Mali,Küçük (erkek) (nötr)
Malim,Küçük (erkek) (nötr) (çoğul)
Malina,Ahududu / Frambuaz (meyve)
Mališana,Küçük çocuk
Malmeu,Malmö
Malo,Küçük (nötr)
Malo (II),Az / Biraz
Malo povišen,Biraz yüksek
Malog,Küçük (erkek) (akuzativ)
Maloprodaja,Perakende satış
Maloprodajama,Perkende Mağazalar
Maloprodaje,Perakende mağazaları (kadın) (genitiv)
Maloprodajni / Maloprodajnih,Perakende
Malu,Küçük (kadın) (tekil) (akuzativ)
Mama,Anne (samimi)
Mami,Anneye
Manastir,Manastır
Manastiru,Manastıra / Manastırda
Mandat / Mandata,Vekalet
Mandatu,Yetki
Manekeni,Manken (erkek)
Manekenke,Manken (kadın)
Mango,Mango (meyve)
Manifestaciju,Tezahür
Manipulisati,Manipüle etmek (fiil)
Manipuliše,Manipüle ediyor (o)
Mantil,Trençkot / Pardesu / İnce kaban
Manja,Daha küçük (kadın)
Manje,Daha az
Manji,Daha küçük (erkek)
Mapa,Harita
Mapi,Haritaya / Haritada / Harita üzerinde
Mapu,Haritaya (akuzativ)
Marama,Baş örtüsü / Eşarp (kadın)
Maramice,Mendiller
Marelica,Kayısı (meyve)
Marka / Brend,Marka
Marke,Markalar
Marketima,Marketlere (dativ) / Marketlerde (lokativ)
Mart,Mart (ay)
Marta,Mart'ın / Mart ayının (genitiv)
Martu,Mart'a / Mart ayında / Mart'a yönelik (dativ) (lokativ)
Masaža,Masajlar (genitiv) / Masaj 
Maskenbal,Maskeli balo
Maskenbali,Maskali balolar
Maskenbalu,Maskeli baloda
Maskirana,Maskeli
Maskot,Maskot
Maslac,Tereyağı
Maslina,Zeytin
Maslinasto,Zeytinimsi / Zeytin Rengi
Maslinastozelena,Zeytin yeşili (renk)
Masline / Maslina,Zeytin
Maslinovo,Zeytinle ilgili / Zeytin bazlı
Maslinovo ulje ,Zeytinyağı
Maslinovom,Zeytin yağı
Maslinjak,Zeytinlik
Maša / Talas / Val,Dalga 
Mašina,Makine
Mašina za pranje suđa,Bulaşık makinesi
Mašina za pranje veša,Çamaşır Makinesi
Mašine,Makineler / Makinenin (genitiv) (akuzativ)
Mašini,Makineye / makine için (dativ) / Makinede / Makine hakkında (lokativ)
Mašinsko,Mekanik
Matematika,Matematik
Matematiku,Matematiği
Materija,Maddelerin
Materijal,Malzeme / Materyal
Materijala,Malzemenin (genitiv) (kadın)
Mati moja,Annem
Matičnim,Yerli
Maturi,Mezuniyette (lokativ)
Maturu,Mezuniyeti (akuzativ)
Mauzolej,Mozole
Mauzoleja,Mozole / Mozolenin (erkek)
Mauzoleju,Mozeleye (dativ) (lokativ)
Me,Bana / Beni (nesne zamiri)
Meč,Maç
Med,Bal
Medalja,Madalya / Ödül / Nişan (kadın)
Medicinska,Tıbbi (Kadın)
Medicinska sestra,Hemşire (kadın)
Medicinska tehničarka,Hemşire / Sağlık teknisyeni (kadın)
Medicinske,Tıbbi (çoğul) (kadın)
Medicinski,Tıbbi (erkek)
Medicinski tehničar,Hemşire / Sağlık teknisyeni (erkek)
Medicinu,Ilaç /  Tıp
Medije,Medyayı (çoğul) (akuzativ)
Medijska,Meday / Medya ile ilgili (kadın)
Medijski,Medya / Medya ile ilgili (erkek) (tekil) (çoğul)
Medijski plejer,Medya oynatıcı
Medijsko,Medya / Medya ile ilgili (nötr)
Meditacija,Meditasyon
Meditaciju,Meditasyonu (akuzativ)
Mediteranska / Mediterana,Akdeniz
Medovina,Ballı içki
Medu,Bal
Među,Arasında anlamı veren ek
Međunarodni,Uluslararası
Međunarodnim,Uluslararası (dativ) (lokativ)
Međunarodno,Uluslararası (nötr)
Međunarodnom,Uluslararası (lokativ)
Međuvladin,Hükümetlerarası
Međuvladina konferencija,Hükümetler arası konferns
Međuvladinoj,Hükümetlerarası (kadın) (dativ) (lokativ)
Mehaničara,Tamirci
Mejl,E-posta
Meke,Yumuşak
Meksički,Meksikalı
Melodija,Melodi
Melodijama,Melodiler
Melodije,Melodilerin / Melodinin (genitiv)
Memorandum o saradnji,İş birliği protokolü
Memorija,Bellek / Hafıza
Memorijski,Bellekle ilgili
Menadžer,Yönetici / Müdür
Menadžeri,Yöneticiler
Menadžment,Yönetim
Menadžmenta,Yönetimin
Mene,Benim (zamir)
Meni,Bana (dativ) / Benim için / Beni
Menija / Meni,Menü
Menze,Kantin
Menja,Değiştiriyor / Değişiyor
Menjati,Değiştirmek
Mera,Önlem / Tedbir
Merba,Ölçüm
Mere,Önlemler / Tebirler
Meriti,Ölçmek (fiil)
Mesa,Etin (genitiv)
Mesar,Kasap
Mesara,Kasap Dükkanı
Mesari,Kasaplar (erkek) (karma)
Mesarka,Kasap (kadın)
Mesarke,Kasaplar (kadın)
Mesna / Mesni,Etli
Mesni gulaš,Et yahnisi
Mesnica,Kasap dükkanı (kadın)
Meso,Et
Mesom,Etle
Mesta,Yerin / Yerler
Mesti,Süpürmek (fiil)
Mešoviti,Karışık
Metal,Metal
Metal-detektoru,Metal dedektörü
Metalna,Metal
Metalni,Metal
Metka,Kurşun
Metropolisu,Metropol
Metru,Metre
Mi,Biz (şahıs zamiri)
Mi (II),Bana
Mijenja,Değiştiriyor (o)
Mijenja se,Değiştiriliyor
Mijenja se i glasi,Değiştirildi ve şu şekilde oldu
Mijenjaju,Değişiyorlar / Değiştiriyorlar(onlar)
Mijenjajući,Değiştirerek
Mijenjamo,Değiştiririz
Mijenjati,Değiştirmek (fiil)
Mijenjati se,Değişmek (başkası tarafından (fiil)
Miješaj,Karıştırmak
Miješano,Karışık
Miješati se ,Karıştırmak (fiil)
Mijsečna,Aylık
Mijsečna rata,Aylık taksit
Mikroprevozno,Mikro taşıma
Mikroprevoznog,Mikro taşıma aracının (genitiv)
Mikrotalasne,Mikrodalga
Milenijuma,Milenyum
Milijarda,Milyar (sayı)
Milijarde,Milyar (çoğul) (dişi) (nominativ) (akuzativ)
Milijardi,Milyarda / Milyarlara / Milyarların (kadın) (genitiv) (dativ) (lokativ)
Miliona,Milyon
Mimoza,Mimoza
Mimoze,Mimozalar
Min,Dakika (kısaltma)
Mineralne,Mineral / Mineralli
Mineralne vode,Maden suyu
Minimalnoj,En az
Ministar,Bakan olarak
Ministar,Bakan (siyaset) (erkek)
Ministar vanjskih poslova,Dışişleri bakanı
Ministar za kulturu,Kültür Bakanı
Ministarka,Bakan (kadın)
Ministarke,Bakanlar
Ministarkom,Bakanla (kadın)
Ministarstva pravde,Adalet bakanlığı
Ministarstvo,Bakanlık
Ministarstvo unutrašnjih poslova (MUP),İçişleri bakanlığı
Ministarstvo vanjskih poslova,Dışişleri bakanlığı
Ministra,Bakanın (genitiv)
Ministra unutrašnjih poslova,İçişleri bakanı
Ministrom,Bakan ile
Ministrom,Bakanla (instrumental)
Ministrom,Bakanla
Ministrom bez portfelja	,Belli bakanlığı olmayan bakan
Minula,Geçmiş / Bitmiş (kadın)
Minula nedelja,Geçen hafta
Minus,Açık / Eksiklik / Bütçe açığı
Minusu,Eksi
Minut,Dakika
Minuta,dakikanın / dakikadan (genitiv) / Dakikayı (akuzativ) (çoğul)
Mir,Barış / Huzur
Miren,Huzurlu / Sakin
Mirenije,Daha Sakin
Miris,Koku / Parfüm
Mirisima,Kokuyor
Mirna,Sakinlik
Mirniju,Daha huzurlu (kadın) (akuzativ)
Miru,Huzurda / Barış içinde (lokativ)
Misijom,Misyon
Misli,Düşün (o)
Mislim,Bence / Sanırım / Düşünüyorum (ben)
Misliti,Düşünmek (fiil)
Mišljenje / Ideju,Fikir
Mitologija,Mitoloji
Mitropolita,Metropolitin
Mjera,Ölçü / Ölçüm / Önlem / Tedbir
Mjeranja,Ölçümler
Mjere,Önlemler / Tedbirler
Mjeri,Ölçüyor / Ölçer (o)
Mjerila,Kriterler
Mjeriti,Ölçmek (fiil)
Mjesčnu,Aylık (kadın)
Mjesec,Ay (erkek)
Mjesec posta,Oruç ayı (Ramazan)
Mjeseca,Ayın / Ayı / Ayının (genitiv) (akuzativ)
Mjeseci,Aylar (genitiv)
Mjesecu,Aya / Ayda (dativ) (lokativ)
Mjesečni,Aylık (erkek) (nötr)
Mjesečnih,Aylık Miktar (genitiv)
Mjesečno,Aylık (nötr)
Mjesta,Yerler (oturulacak) / Koltuklar
Mjestima,Yerlerlerde / Noktalarda
Mjesto,Yer / Oturma yeri / Konum / Mekan
Mjesto gdje uspomene počinju,Anıların başladığı yer
Mjestu,Yere / Yerde / Sıra
Mješavina,Karışım
Mjileko,Hafifçe
Mlad,Genç (kadın)
Mlad,Genç (erkek)
Mladi,Gençler
Mladić,Genç adam / delikanlı
Mladića,Gençlerin
Mladima,Gençlerle (instrumental) / Gençlere (dativ)
Mlađi,Daha genç
Mlađim,Daha genç olana / Daha genç birine
Mleka,Sütün / Sütten (genitiv)
Mlekom,Sütle (instrumental)
Mliječna / Mlekara,Günlük
Mliječni proizvodi,Süt ürünleri
Mlijeko,Süt (standart kullanım)
Mljeko,Süt
Mljevena,Öğütülmüş / Çekilmiş
Mljeveni,Öğütülmüş / Çekilmiş (erkek)
Mljevenim,Öğütülmüş (instrumental)
Mljeveno ,Öğütülmüş / Çekilmiş (nötr)
Mljeveno meso / Mljevenim meso,Kıyma
Mnoge,Birçok / Pek çok (kadın)
Mnogi,Birçok / Pek çok (erkek)
Mnogo,Çok / Birçok
Mnogo toga,çok şey
Mnogo toga može da se desi,Çok şey olabilir
Mnom,Benimle birlikte
Množina,Çoğul
Množine,Çoğullar
Mobilne,Mobil
Mobilni,Mobil / Taşınabilir
Mobilnih,Mobil (genitiv) (çoğul)
Mobilnih aplikacija,Mobil Uygulamaların (genitiv)
Mobilnog,Mobil
Mobilnog telefona,Cep telefonu
Mobilnoj,Mobil (lokativ) (kadın)
Moć,Güç
Moć,Güç / Kudret 
Moćan,Güçlü / Kudretli / Etkili (erkek)
Moći,Yapabilmek (fiil)
Moćna,Güçlü / Dayanıklı / Etkili / Kudretli (kadın)
Moda,Moda
Modalitet,Model / Yöntem
Modalitete,Modeller / Yöntemler (akuzativ)
Modan,Modaya ait
Mode,Modanın (kadın) (genitiv)
Modela,Modeli
Modele,Modelleri (akuzativ)
Modeli,Modeller
Modelu,Modele / Örneğe
Moderan,Modern (erkek)
Moderne,Modern (kadın) (nötr) (çoğul)
Moderni,Modern (erkek)
Modernizacija,Yenileştirme / Çağdaşlaştırma / Yenileme
Modernizaciji,Modernizasyona (dativ)
Modernizaciju,Modernizasyonu
Moderno,Modern / Çağdaş / Yenlikçi (nötr)
Modernost,Modernlik
Modi,Modaya (kadın) (dativ) (lokativ)
Modna,Modaya uygun (kasın)
Modne,Modaya ait / Moda ile ilgili
Modne revije,Moda defileleri
Modni,Modaya uygun (erkek)
Modnih,Moda ile ilgili (genitiv)
Modno,Modaya uygun (nötr)
Mog,Benim
Mogli,Abilir (ek)
Mognemo,Yapabiliriz
Mogu,Yapabilirler / Edebilirler (onlar)
Mogu biti od 4 do 6 osoba,4 ila 6 kişi olabilir
Mogu pomoći,Yardım edebilirim
Mogu zamijeniti,Değiştirebilir miyim?
Moguće,Olası / Mümkün
Mogućnost,Olasılık / Olanak / Fırsat
Mogućnosti,Olasılıkları / İmkanları (akuzativ)
Mogućnostima,İmkânlarla / Olanaklarla / Fırsatlarla
Moj,Benim (erkek)
Moja,Benim (kadın)
Moje,Benim (nötr)
Moji,Benim (erkek - çoğul)
Mojoj,Benim (kadın) (lokativ)
Mokru / Mokri / Vlažne,Islak
Mole se,Rica olunur
Molim,Lütfen
Molim te,Lütfen
Molim vas,Lütfen / rica ediyorum (saygı ifadesi)
Molim vas da se predstavite,Lütfen kendinizi tanıtın
Molimo,Rica ediyoruz (biz)
Molimo pokušajte opet,Lütfen tekrar deneyin
Moliti,Rica etmek (fiil)
Molitveni,Dua / Manevi
Momak,Delikanlı
Momaka,Genç adamların
Momenat,Bir an / Bir dakika / Anlık durum
Momenat samo,Bir dakika lütfen
Momentu,An
Monografa,Monografi
Montažan,Montaj ile ilgili (genitiv)
Montažnih,Montaj / Prefabrik
Montažnih objekata,Montaj yapılar
Mora,Mutlak / Yapmak zorunda / Mecbur
Mora (I),Denizin (genitiv)
Mora biti,Olmalıdır
Moraju,Zorundalar
Moram,Zorundayım / Yapmalıyım (ben)
Moramo,Yapmalıyız / Zorundayız (biz)
Moraš,Zorundasın (sen)
Morate ,Zorundasınız (siz)
Morati,Zorunda olmak (fiil)
More,Deniz
Morski,Denizle ilgili
Morskim,Denizle ilgili (erkek)
Moru,Denize / Denizde (dativ) (lokativ)
Moskovskog ,Moskova'nın (genitiv)
Moskva,Moskova
Moskvi,Moskova'ya (dativ) / Moskova'da (lokativ)
Most,Köprü
Mosta,Köprünün / Köprüsünün (genitiv)
Motirani,Motive
Motivacija,Motivasyon / İlham
Motivima,Motifler
Motiviše,Motive eder
Moto,Slogan
Motociklista,Motosikletçi
Možda,Belki
Može,Yapabilir / Olabilir / Mümkün / Olur / Tamam (o)
Može i mora Crna Gora,Karadağ hem yapabilir hem de yapmak zorundadır
Može li,Yapabilir mi? / Olur mu? / Mümkün mü ? (soru)
Možemo,yapabiliriz (biz)
Možeš,Yapabilirsiniz
Možeš li da izabereš jedan,Birini seçebilir misin
Možete,Yapabilirsiniz (siz)
Možete li,Yapabilir misiniz / Getirebilir misiniz (soru)
Mreža,Ağa / Şebeke / Network (kadın)
Mrežama,Ağlarda
Mreži,Ağa / Ağda (dativ) (lokativ)
Mrežu,Ağı / Şebekeyi (akuzativ) (kadın)
Mrkva,Havuç(Hırvatistan Bosna Hersek Karadağ)
Mrkve,Havuçlar
Mršav,İnce / Zayıf / Sıska (erkek)
Mršava,Zayıf / İnce vücut yapısı (kadın)
Mršavo,İnce / Zayıf / Sıska (nötr)
Mrziti,Nefret etmek (fiil)
Mu,Ona (dativ) (erkek)
Muči,Rahatsız etmek / Eziyet etmek
Mučnina,Bulantı
Mučninu,Bulantı (akuzativ)
Muftija,Müftü
Munje,Yıldırım
Musliman,Müslüman
Muslimana,Müslümanların (genitiv)
Muslimanki,Müslümana (kadın) (dativ)
Muslimanski,Müslümanlara ait / İslamla ilgili
Muslimanu,Müslümana (erkek) (dativ)
Muškarac,Adam / Erkek
Muški,Erkek / Erkeklere ait
Muški rod,Eril / Erkeksi
Muško,Erkek / Erkek cinsiyeti
Muškog,Erkeğin / Erkeği (belirtme)
Muzej,Müze
Muzička,Müzik (okul tanımı)
Muzička akademija,Müzik Akademisi
Muzički,Müzikal
Muzičkog,Müzikal
Muzičkom,Müzikal olarak
Muzika,Müzik
